No_records_found,No records found,
No_records_exist,No records exist,
Add_lv_addnew {0},Create new {0},
Add_lv_addnew,New,
Delivery Note_lv_addnew,Delivery Note,
Customer_lv_addnew,Customer,
Customer_Name_as_lv_field,Customer Name,
Import_lv_menu_item,Import Data,
User Permissions_lv_menu_item,User Permissions,
Role Permissions Manager_lv_menu_item,Role Permissions Manager,
Customize_lv_menu_item,Customize,
Toggle Sidebar_lv_menu_item,Toggle Sidebar,
Share URL_lv_menu_item,Share URL,
Edit DocType_lv_menu_item,Edit DocType,
List Settings_lv_menu_item,List Settings,
Export_lv_menu_action_item,Export,
Edit_lv_menu_action_item,Edit Selected,
Submit {0} documents?_lv_menu_action_item,Submit {0} documents?,
Submit_lv_menu_action_item,Submit Selected,
Cancel {0} documents?_lv_menu_action_item,Cancel {0} documents?,
Cancel_lv_menu_action_item,Cancel Selected,
Delete {0} items permanently?_lv_menu_action_item,Delete {0} items permanently?,
Delete_lv_menu_action_item,Delete Selected,
Print_lv_menu_action_item,Print Selected,
Add Tags_lv_menu_action_item,Add Tags,
Apply Assignment Rule_lv_menu_action_item,Apply Assignment Rule,
Assign To_lv_menu_action_item,Assign To,
Delivery Note_lv_title,Delivery Notes,
Delivery Note_list_breadcrumb,Delivery Notes,
Customer_lv_title,Customers,
Customer_list_breadcrumb,Customers,
Refresh_lv_base,Ανανέωση εγγραφών,
Notification Settings_list_breadcrumb,Notification Settings,
Notification Settings_lv_title,Notification Settings,
Notification Settings_Name_as_lv_field,Notification Channel,
Company_lv_title,Companies,
Company_Name_as_lv_field,Company Name,
Item_list_breadcrumb,Items,
Item_lv_title,Items,
Item_Name_as_lv_field,Item Code,
Item_lv_addnew,Item,
UOM_list_breadcrumb,UOMs,
UOM_lv_title,UOMs,
Supplier_list_breadcrumb,Suppliers,
Supplier_lv_title,Suppliers,
Supplier_lv_addnew,Supplier,
CSTaxOffice_list_breadcrumb,Tax Offices,
CSTaxOffice_lv_title,Tax Offices,
CSTaxOffice_lv_addnew,Tax Office,
CSTaxOffice_Name_as_lv_field,Tax Office,
CSOccupation_list_breadcrumb,Occupations,
CSOccupation_lv_title,Occupations,
CSOccupation_lv_addnew,Occupations,
CSOccupation_Name_as_lv_field,Occupation,
Data Import_list_breadcrumb,Data Import
Data Import_lv_title,Data Import Tasks,
Data Import_lv_addnew,Data Import Task,
Data Import_Name_as_lv_field,Data Import Task,
Contact_list_breadcrumb,Contacts,
Contact_lv_title,Contacts,
Contact_Name_as_lv_field,Contact - Link,
Contact_lv_addnew,Contact,
Purchase Order_list_breadcrumb,Purchase Orders,
Purchase Order_lv_title,Purchase Orders,
Purchase Order_Name_as_lv_field,Purchase Order Number,
Purchase Order_lv_addnew,Purchase Order,
Stock Entry_list_breadcrumb,Stock Entries,
Stock Entry_lv_title,Stock Entries,
Stock Entry_Name_as_lv_field,Stock Entry Number,
Stock Entry_lv_addnew,Stock Entry,
Item Tax Template_list_breadcrumb,Item Tax Templates,
Item Tax Template_lv_title,Item Tax Templates,
Item Tax Template_lv_addnew,Item Tax Template,
Item Tax Template_Name_as_lv_field,Item Tax Template,
Lead_list_breadcrumb,Leads,
Lead_lv_title,Leads,
Lead_lv_addnew,Lead,
Lead_Name_as_lv_field,Lead,
DocType_list_breadcrumb,DocTypes,
DocType_lv_title,DocTypes,
DocType_lv_addnew,DocType,
DocType_Name_as_lv_field,DocType,
Sales Order_list_breadcrumb,Sales Orders,
Sales Order_lv_title,Sales Orders,
Sales Order_lv_addnew,Sales Order,
Sales Order_Name_as_lv_field,Sales Order Number,